ICAO24,Latitude,Longitude,Track,Altitude,Vitesse,Squawk,Radar_Feeder,Type_avion,Registration,Temps_UNIX,Depart,Arrivee,Num_IATA,On_ground,Vertical_Speed,Num_ICAO,Code_ICAO
394A0A,53.2573,12.5189,243,36000,495,1000,F-EDHI2,B77W,F-GSQK,1645968415,NRT,CDG,AF275,0,0,AFR275,AFR
39CF0D,55.6089,11.0378,226,43000,472,3523,F-ESDF1,A359,F-HTYN,1645968415,KIX,CDG,AF291,0,0,AFR291,AFR
3965AF,43.6232,27.6433,304,36000,462,3211,F-LUKK6,B77W,F-GZNP,1645968416,BKK,CDG,AF165,0,0,AFR165,AFR
39C421,50.0321,-16.3843,91,38996,560,0000,F-SAT6,B789,F-HRBB,1645968409,MEX,CDG,AF173,0,0,AFR173,AFR
396447,39.8925,20.6896,316,40000,452,2066,F-LBSF6,A332,F-GZCH,1645968416,SEZ,CDG,AF247,0,0,AFR247,AFR
3965B0,58.1845,-157.4881,82,35000,486,7402,F-PAIG1,B77W,F-GZNQ,1645968409,ICN,YVR,AF6700,0,64,AFR6700,AFR
39C425,36.3483,43.4752,307,37975,454,4701,F-ORER6,B789,F-HRBF,1645968417,CMB,CDG,AF268,0,0,AFR268,AFR
3949E6,-1.9537,-144.7797,212,38000,510,0000,F-SAT6,B772,F-GSPG,1645968407,LAX,PPT,AF76,0,0,AFR076,AFR
39C423,42.7099,29.4172,289,38000,464,3246,T-MLAT1,B789,F-HRBD,1645968410,DXB,CDG,AF659,0,0,AFR659,AFR
39CF04,38.1503,42.8109,119,39000,532,0644,F-EST,A359,F-HTYE,1645968413,CDG,BLR,AF194,0,0,AFR194,AFR
3946E9,27.8554,-15.4203,21,1225,125,7643,F-GCLP3,A319,F-GRXJ,1645968413,CDG,LPA,AF9452,0,-1024,AFR34PL,AFR
396446,22.6308,7.5124,170,37000,458,0000,F-SAT2,A332,F-GZCG,1645968409,CDG,PNR,AF830,0,0,AFR830,AFR
3949E4,21.6276,10.0736,168,37000,481,0000,F-SAT7,B772,F-GSPE,1645968409,CDG,BZV,AF770,0,0,AFR770,AFR
39CF00,51.6829,-37.1864,249,34004,463,0000,F-SAT6,A359,F-HTYA,1645968409,CDG,MIA,AF92,0,0,AFR092,AFR
3949F8,60.0244,-39.8052,278,36000,460,0000,T-F5M,B772,F-GSPY,1645968409,CDG,ATL,AF682,0,0,AFR682,AFR
394A14,63.7802,-36.8068,280,33000,483,2722,F-BGKK1,B77W,F-GSQU,1645968413,CDG,IAH,AF636,0,-64,AFR636,AFR
3949E8,30.0475,-21.9789,220,36000,501,0650,F-GCHI1,B772,F-GSPI,1645968416,CDG,GRU,AF462,0,0,AFR462,AFR
39C429,28.7906,29.221,161,35000,517,1677,F-HECA2,B789,F-HRBJ,1645968416,CDG,NBO,AF814,0,64,AFR814,AFR
396441,43.7186,2.8372,174,39000,481,7631,F-LFBO6,A332,F-GZCB,1645968415,CDG,ACC,AF584,0,0,AFR584,AFR
394A05,63.5321,-34.2105,283,33000,480,2245,F-BGKK1,B77W,F-GSQF,1645968412,CDG,LAX,AF66,0,-64,AFR066,AFR
39644A,37.3534,-25.9459,235,38000,401,5027,F-LPPD4,A332,F-GZCK,1645968416,CDG,SXM,AF498,0,0,AFR498,AFR
39C426,29.7236,-22.2165,214,39000,516,0652,F-GCHI1,B789,F-HRBG,1645968414,CDG,FOR,AF416,0,-64,AFR416,AFR
3949F9,31.2615,-22.972,233,36000,481,2000,F-EST,B772,F-GSPZ,1645968409,ORY,CAY,AF852,0,0,AFR852,AFR
394A0E,54.3437,-9.249,305,30000,472,5624,F-EINN2,B77W,F-GSQO,1645968414,CDG,CUN,AF650,0,0,AFR650,AFR
3949F4,26.4629,7.0104,353,38000,484,0000,F-SAT2,B772,F-GSPU,1645968417,LBV,CDG,AF977,0,0,AFR977,AFR
39CF0C,33.5203,-20.9036,237,37000,484,0672,F-LPMA9,A359,F-HTYM,1645968412,CDG,LIM,AF480,0,0,AFR480,AFR
394A17,37.9515,-24.512,238,35000,436,4542,F-LPPD3,B77W,F-GSQX,1645968413,ORY,PTP,AF776,0,0,AFR776,AFR
