Name,Code,Code_ICAO,Country
21 Air,2I,CSB,
25Only Aviation,,ONY,
2Excel Aviation,,BRO,Netherlands
40-Mile Air,Q5,MLA,United States
748 Air Services,FE,IHO,
9 Air,AQ,JYH,
Abakan Air,S5,NKP,
ABS Jets,,ABP,Czechia
Abu Dhabi Aviation,,BAR,Canada
ABX Air,GB,ABX,United States
ABX Air,GB,ABX,United States
Acass Ireland,,SON,United States
Advanced Air,AN,WSN,
Aegean Airlines,A3,AEE,Greece
Aer Lingus,EI,EIN,Ireland
Aer Lingus UK,EG,EUK,United Kingdom
AerCaribe,JK,ACL,Italy
Aero,N2,NIG,Nigeria
Aero Charter,,GLT,United States
Aero Charter and Transport,,CTA,United States
Aero Guernsey,,AEO,Mexico
Aero K,RF,EOK,
Aero Mongolia,M0,MNG,Mongolia
Aero Nomad Airlines,,ANK,Japan
Aero Regional,,RER,Ecuador
Aero-Beta Flight Training,,ABA,Ukraine
Aero-Dienst,,ADN,Germany
Aero-Service,,RSR,Democratic Republic Of The Congo
Aerodynamics,4A,DYN,United States
Aeroflot,SU,AFL,Russia
Aerolineas Argentinas,AR,ARG,Argentina
Aerolineas Sosa,P4,NSO,Honduras
Aerolink Uganda,A8,XAU,United States
AeroLogic,3S,BOX,United Kingdom
Aeromar,VW,TAO,Mexico
Aeromexico,AM,AMX,Mexico
Aeromexico Connect,5D,SLI,Mexico
Aeronaves TSM,,VTM,Mexico
Aeronova,X5,OVA,Spain
Aeropartner,,DFC,
Aeroservicios de la Costa,,TAA,Mexico
Aerostan,,BSC,Kyrgyzstan
Aerosul Linhas Aereas,,ASO,Slovakia
Aerotec,,AEP,Spain
Aerotours,,ATU,Hungary
Aerotranscargo,F5,ATG,Kazakhstan
AeroUnion,6R,TNO,Mexico
Aerovias DAP,V5,DAP,Chile
Aerovis Airlines,,VIZ,Ukraine
Aerro Direkt,4D,DIR,Indonesia
AF-Aviation,,AFF,
Afric Aviation,L8,EKG,
Africa World Airlines,AW,AFW,Cote D'ivoire (Ivory Coast)
African Express Airways,XU,AXK,Kenya
Afrijet,J7,ABS,Canada
Afriqiyah Airways,8U,AAW,Libya
Air 1st Aviation,,RUF,
Air Albania,ZB,ABN,Senegal
Air Algerie,AH,DAH,Algeria
Air Alliance,,AYY,
Air Alsie,6I,MMD,Denmark
Air Antilles,3S,GUY,French Guiana
Air Arabia,G9,ABY,United Arab Emirates
Air Arabia Abu Dhabi,3L,ADY,United States
Air Arabia Egypt,E5,RBG,Egypt
Air Arabia Maroc,3O,MAC,Malta
Air Astana,KC,KZR,Kazakhstan
Air Atlanta Europe,,AAE,
Air Atlanta Icelandic,CC,ABD,Iceland
Air Austral,UU,REU,France
Air Bagan,W9,JAB,Myanmar (Burma)
Air Baltic,BT,BTI,Latvia
Air Belgium,KF,ABB,Democratic Republic Of The Congo
Air Bohemia,,BOH,
Air Botswana,BP,BOT,Botswana
Air Bucharest,,BUR,Romania
Air Burkina,2J,VBW,Burkina Faso
Air Busan,BX,ABL,Canada
Air Busan,BX,ABL,South Korea
Air Cairo,SM,MSC,Egypt
Air Caledonie,TY,TPC,France
Air Canada,AC,ACA,Canada
Air Canada Rouge,RV,ROU,Chile
Air Caraibes,TX,FWI,France
Air Care Alliance,,CMF,United States
Air Cargo Carriers,2Q,SNC,United States
Air Cargo Global,CW,CCC,Colombia
Air Century,Y2,CEY,Dominican Republic
Air Changan,9H,CGN,China
Air Charity Network,,NGF,United States
Air Charter Scotland,,EDC,United Kingdom
Air Charter Scotland Europe,,SCO,Sweden
Air Charter Scotland Europe,,SCO,Singapore
Air Chathams,3C,CVA,New Zealand
Air China,CA,CCA,China
Air China Cargo,,CAO,China
Air China Inner Mongolia,,CNM,
Air Choice One,3E,ACO,Mexico
Air CM Global,,RJR,
Air Corsica,XK,CCM,France
Air Costa Rica,RI,RII,
Air Cote d'Ivoire,HF,VRE,Ukraine
Air Creebec,YN,CRQ,Canada
Air Deccan,,DKN,India
Air Do,HD,ADO,Japan
Air Dolomiti,EN,DLA,Italy
Air Europa,UX,AEA,Spain
Air Excel,,XLL,Tanzania
Air Falcon,FS,FPK,
Air Flamenco,F4,WAF,United States
Air France,AF,AFR,France
Air France Hop,A5,HOP,
Air Ghana,,GHN,Ghana
Air Greenland,GL,GRL,Denmark
Air Guilin,GT,CGH,China
Air Hamburg,,AHO,Germany
Air Hong Kong,LD,AHK,Hong Kong
Air Horizont,HT,HAT,France
Air Incheon,KJ,AIH,Chile
Air India,AI,AIC,India
Air India Express,IX,AXB,India
Air Inuit,3H,AIE,Canada
Air Japan,NQ,AJX,Japan
Air KBZ,K7,KBZ,Myanmar (Burma)
Air Kiribati,IK,AKL,Kiribati
Air Koryo,JS,KOR,North Korea
Air Leisure,AL,ALD,United Kingdom
Air Liaison,DU,LSJ,
Air Libya,7I,TLR,Libya
Air Loyaute,,RLY,
Air Macau,NX,AMU,Macao
Air Madagascar,MD,MDG,Madagascar
Air Malta,KM,AMC,Malta
Air Manas,ZM,MBB,Kyrgyzstan
Air Mauritius,MK,MAU,Mauritius
Air Mediterranean,MV,MAR,United Kingdom
Air Moldova,9U,MLD,Moldova
Air Montenegro,,MNE,Mexico
Air Namibia,SW,NMB,Namibia
Air New Zealand,NZ,ANZ,New Zealand
Air Niugini,PX,ANG,Papua New Guinea
Air North,4N,ANT,Canada
Air Nostrum,YW,ANE,Spain
Air Nunavut,,BFF,Canada
Air Ocean Airlines,,AOA,Ukraine
Air Panama,7P,PST,Panama
Air Peace,P4,APK,
Air Premia,YP,APZ,
Air Rarotonga,GZ,RAR,Cook Islands
Air Saint-Pierre,PJ,SPM,France
Air Senegal,HC,SZN,
Air Seoul,RS,ASV,Guinea-Bissau
Air Seychelles,HM,SEY,Seychelles
Air Sinai,4D,ASD,Egypt
Air Spray,,ASB,Canada
Air Sunshine,,RSI,United States
Air Tahiti,VT,VTA,French Polynesia
Air Tahiti Nui,TN,THT,France
Air Tanzania,TC,ATC,Tanzania
Air Taxi & Charter International,,IBJ,
Air Thanlwin,ST,AYG,
Air Tindi,8T,TIN,Dominican Republic
Air Transat,TS,TSC,Canada
Air Transport Europe,,EAT,Slovakia
Air Transport International,8C,ATN,United States
Air Travel,A6,OTC,
Air Urga,3N,URG,Ukraine
Air Vanuatu,NF,AVN,Vanuatu
Air Volta,,VLB,
Air Wisconsin,ZW,AWI,United States
Air X Charter,,AXY,France
Air Zimbabwe,UM,AZW,Zimbabwe
Air-Taxi Europe,,TWG,
AirACT,9T,RUN,Turkey
AirAsia,AK,AXM,Malaysia
AirAsia India,I5,IAD,Italy
AirAsia X,D7,XAX,Malaysia
Airbahn,UN,ARB,Aruba
AirBlue,PA,ABQ,Pakistan
AirBridgeCargo Airlines,RU,ABW,Russia
Airbus,,AIB,France
Airbus Transport International,4Y,BGA,France
Aircalin,SB,ACI,France
Aircompany Armenia,RM,NGT,
Aireon Canada,,AEN,Mexico
Airest,,AEG,Chile
AirExplore,ED,AXE,Slovakia
Airfast Indonesia,,AFE,Indonesia
AirGO Private Airline,,XGO,
Airhub Airlines,,GJM,
Airkenya Express,P2,XAK,Kenya
Airlec Air Espace,,ARL,France
Airlift International,,AIR,United States
Airlink,,JAR,Austria
Airlink,4Z,LNK,South Africa
AirNet,,USC,United States
Airnorth,TL,ANO,Australia
Airpac Airlines,,APC,United States
AirPink,,PNK,
AirSERBIA,JU,ASL,United States
AirSERBIA,JU,ASL,Serbia
AirSF Flight Services,,XSN,Canada
AirShare,,XSR,United States
AirSial,PF,SIF,
AirSmart,,XSM,
Airsprint,,ASP,Canada
AirSWIFT,T6,ATX,United Kingdom
AirTanker,9L,TOW,United States
Airwing,,NWG,Norway
Airwork,,AWK,New Zealand
AIS Airlines,,PNX,United States
Ajwaa Airlines,,AJY,Cyprus
Al-Naser Wings,NG,NAD,Indonesia
Alante Air Charter,,SVL,Ukraine
Alaska Airlines,AS,ASA,United States
Alaska Central Express,KO,AER,United States
AlbaStar,AP,LAV,Spain
Albatros Airlines,G0,GAL,Kyrgyzstan
Albawings,2B,AWT,Canada
Albinati Aeronautics,,LUC,Switzerland
Albinati Aeronautics,,ULC,
Alexandria Airlines,DQ,KHH,Egypt
Algonquin Airlink,,FSY,
Alidaunia,D4,LID,Italy
AlisCargo Airlines,CP,LSI,
Aliserio,,TJD,
ALK Airlines,,VBB,
Alkan Air,,ALN,United States
Alkan Air,,AKN,Canada
All Nippon Airways,NH,ANA,Japan
Allegiant Air,G4,AAY,United States
Alliance Air,9I,LLR,India
Alliance Airlines,QQ,UTY,Australia
Allied Air,4W,AJK,Nigeria
AlMasria Universal Airlines,UJ,LMU,Egypt
Aloha Air Cargo,KH,AAH,United States
Alphaland Aviation,,BIC,
Alpine Air Express,5A,AIP,United States
Alpine Flightservice,,FSE,
Alrosa,6R,DRU,Russia
ALS,,ALW,Dominican Republic
Altagna,,AGH,France
Amakusa Airlines,MZ,AHX,
Amapola Flyg,HP,APF,Sweden
Amaszonas,Z8,AZN,Bolivia
AMC Airlines,,AMV,Egypt
AMC Aviation,,AMQ,United Kingdom
Amelia,8R,AIA,Estonia
Amelia International,NL,AEH,Hungary
American Air Charter,,GTW,
American Airlines,AA,AAL,United States
Ameriflight,A8,AMF,United States
Amerijet International,M6,AJT,United States
Ameristar,7Z,AJI,United States
AMREF Flying Doctors,,FDS,Kenya
AMS Airlines,,GEO,
ANA Wings,EH,AKX,Japan
Anda Air,DM,SSV,Canada
Andes Lineas Aereas,,ANS,Argentina
Angara Airlines,2G,AGU,Russia
Anguilla Air Services,Q3,AXL,Netherlands
Animawings,A2,AWG,
Antonov Airlines,,ADB,Ukraine
APG Airlines,GP,RIV,
Arajet,DM,DWI,
Arcus Air,,AZE,Germany
Ariana Afghan Airlines,FG,AFG,Afghanistan
Arik Air,W3,ARA,Nigeria
Arkia Israeli Airlines,IZ,AIZ,Israel
Armenia Airways,6A,AMW,United States
Aruba Airlines,AG,ARU,Aruba
ASAS Linhas Aereas,,CEU,
ASG Business Aviation,,ESW,
Asia Pacific Airlines,P9,MGE,United States
Asia Sky Lines,,LIC,
Asiana Airlines,OZ,AAR,South Korea
Asky Airlines,KP,SKK,Canada
ASL Airlines,,ABR,Ireland
ASL Airlines Belgium,3V,TAY,Belgium
ASL Airlines France,5O,FPO,France
ASL Airlines Hungary,,FAH,Hungary
ASL Airlines UK,,ABV,Ghana
Asta Linhas Aereas,0A,SUL,
Astonjet,,ASJ,Canada
Astral Aviation,8V,ACP,Kenya
ATA Airlines,I3,TBZ,Brazil
ATI Jet,,CYO,United States
Atlantic Airways,RC,FLI,Faroe Islands
Atlas Air,5Y,GTI,United States
Atlas Air Service,,ATL,Mexico
Atran,V8,VAS,Russia
Aura Airlines,U5,GWR,
Auric Air,UI,AUK,United Kingdom
Aurigny Air Services,GR,AUR,United Kingdom
Aurora,HZ,SHU,Russia
Austrian Airlines,OS,AUA,Austria
Avanti Air,,ATV,Germany
Avcenter,,TTE,United States
Avcon Jet,,AOJ,
Avcon Jet Malta,,VCJ,
Avcon Jet San Marino,,VAJ,
Avelo Airlines,XP,VXP,Mali
Avia Traffic,YK,AVJ,Kyrgyzstan
Aviacon Zitotrans,ZR,AZS,Russia
Avianca,AV,AVA,Colombia
Avianca Cargo,QT,TPA,Colombia
Avianca Central America,TA,TAI,
Avianca Costa Rica,LR,LRC,Costa Rica
Avianca Ecuador,2K,GLG,Ecuador
Avianca Express,EX,AVR,United States
Avianca Guatemala,GU,GUG,Guatemala
Aviastar,,VIT,
Aviastar-TU,4B,TUP,Russia
Aviation Advisor,,LKF,
Aviation Horizons,,HZS,
Avion Express,X9,NVD,Lithuania
Avion Express Malta,,MLH,United States
Avionord,,VND,
Avior Airlines,9V,ROI,Venezuela
Aviostart,,VSR,Bulgaria
Azerbaijan Airlines,J2,AHY,Azerbaijan
Azimuth,A4,AZO,
Azman Air,ZQ,AZM,Mexico
Azores Airlines,S4,RZO,Portugal
Aztec Airways,AJ,AZY,United States
Azul Conecta,2F,ACN,Nicaragua
Azul Linhas Aereas,AD,AZU,Brazil
Azur Air,ZF,AZV,Ukraine
Azur Air Ukraine,QU,UTN,Mongolia
BA CityFlyer,CJ,CFE,United Kingdom
Babcock MCS Espana,UV,INR,
Babcock MCS France,,PTH,France
Babcock MCS Italia,,ELH,Italy
Babcock MCS Offshore,,BND,United Kingdom
Babcock MCS Onshore,,RHD,United Kingdom
Babcock Scandinavian AirAmbulance,,DFL,
Baden Aircraft Operations,,BAO,
Badr Airlines,J4,BDR,Sudan
BAe Systems,,BAE,United Kingdom
BAe Systems Marine,,VSB,United Kingdom
Bahamasair,UP,BHS,Bahamas
Bakhtar Afghan Airlines,BM,BFO,Canada
Bamboo Airways,QH,BAV,Bangladesh
Bangkok Airways,PG,BKP,Thailand
BankAir,,BKA,United States
Bar XH Air,,BXH,Canada
Baron Aviation Services,,BVN,United States
Bassaka Air,5B,BSX,Cambodia
Batik Air,ID,BTK,Ukraine
Bearskin Airlines,JV,BLS,Canada
Bees Airline,7B,UBE,
Beijing Airlines,,BJN,
Bel Air Aviation,,BBX,
Belavia,B2,BRU,Belarus
Bemidji Airlines,CH,BMJ,United States
Bering Air,8E,BRG,United States
Berjaya Air,J8,BVT,Malaysia
Berniq Airways,NB,BNL,Ethiopia
Berry Aviation,,BYA,United States
Bestfly Aruba,,BFY,
Bestfly Cabo Verde,3B,BCV,Ukraine
BH Air,8H,BGH,Bulgaria
Bhutan Airlines,B3,BTN,
Bighorn Airways,,BHR,United States
Biman Bangladesh Airlines,BG,BBC,Bangladesh
BinAir,,BID,Germany
Binter Canarias,NT,IBB,Spain
Bioflight,,BIO,
Bismillah Airlines,BH,BML,Bangladesh
Blue Air,0B,BLA,United Kingdom
Blue Bird Aviation,,BLB,Sudan
Blue Dart Aviation,BZ,BDA,India
Blue Islands,SI,BCI,United Kingdom
Blue Square Aviation,,BSG,
Bluebird Airways,BZ,BBG,Greece
Bluebird Aviation,,BBZ,Kenya
Bluebird Nordic,BO,BBD,Iceland
Boeing,,BOE,United States
Boliviana de Aviacion,OB,BOV,Bolivia
Bookajet,,BOO,United Kingdom
Boutique Air,4B,BTQ,United States
BRA,TF,BRX,United States
Bravo Airways,,BAY,Cambodia
Breeze Airways,MX,MXY,
Bristow Helicopters,,BHL,United Kingdom
Bristow Nigeria,,BHN,Nigeria
Bristow Norway,,NOR,Norway
Bristow US,L9,BTZ,
British Airways,BA,BAW,United Kingdom
British Airways Shuttle,,SHT,United Kingdom
Bromma Air Maintenance,,CFL,Sweden
Brussels Airlines,SN,BEL,
Budapest Aircraft Service,RP,BPS,Hungary
Buddha Air,U4,BHA,Nepal
Budget Lines,BD,BGN,
Buffalo Airways,,BFL,Canada
Bul Air,LB,BVL,
Bulgaria - Government,,BGF,Bulgaria
Bulgaria Air,FB,LZB,Bulgaria
Buraq Air,UZ,BRQ,Libya
Business Wings,,JMP,
Buzz,RR,RYS,Thailand
BySky,,BYS,
C&M Airways,,RWG,United States
Cabo Verde Airlines,VR,TCV,Portugal
Caicos Express Airways,9Q,CXE,
CAL Cargo Airlines,5C,ICL,Israel
Calafia Airlines,A7,CFV,Mexico
Calm Air,MO,CAV,Canada
Calstar,,CMD,
Camair-Co,QC,CRC,Canada
Cambodia Airways,KR,KME,
Cambodia Angkor Air,K6,KHV,
Cambodia Bayon Airlines,BD,BYC,China
Cameroon Airlines,UY,UYC,Cameroon
Canada - Department of Transport,,TGO,Canada
Canadian Airways Congo,,TWC,
Canadian North,5T,AKT,Russia
Canarias Airlines,,RSC,Mexico
CanaryFly,PM,CNF,Spain
Canavia,,CNA,Serbia
