Depart,Arrivee,Code_ICAO
CGQ,FUO,JYH
KWE,CAN,JYH
CKG,CAN,JYH
PVG,CAN,JYH
CAN,YIH,JYH
CVG,SEA,ABX
SMF,LAL,ABX
ORD,EMA,ABX
HHR,JAC,WSN
LIS,ATH,AEE
LHR,ATH,AEE
MAD,ATH,AEE
ATH,BRU,AEE
ATH,FCO,AEE
SKG,FRA,AEE
ATH,CDG,AEE
ATH,RHO,AEE
ATH,TIA,AEE
ATH,TLV,AEE
ATH,KGS,AEE
DUB,JFK,EIN
DUB,ORD,EIN
DUB,IAD,EIN
ORK,ACE,EIN
DUB,ACE,EIN
DUB,EWR,EIN
DUB,TFS,EIN
DUB,LPA,EIN
LHR,SNN,EIN
DUB,BOS,EIN
BIO,DUB,EIN
LGW,DUB,EIN
LHR,BHD,EIN
AMS,DUB,EIN
DUB,VCE,EIN
DUB,LHR,EIN
BOG,LIM,ACL
SUS,CAK,GLT
MLE,SVO,AFL
LED,EVN,AFL
OVB,SVO,AFL
SVO,EVN,AFL
IKT,SVO,AFL
AER,SVO,AFL
IST,SVO,AFL
AER,SVO,AFL
SVO,AER,AFL
DXB,SVO,AFL
KUF,HRG,AFL
GYD,SVO,AFL
SVO,VVO,AFL
SVO,STW,AFL
SVO,MRV,AFL
SVX,SVO,AFL
UFA,SVO,AFL
SVO,PKC,AFL
NMA,LED,AFL
KJA,SKD,AFL
KGD,SVO,AFL
IST,SVO,AFL
SVO,LED,AFL
MSQ,SVO,AFL
SVO,IKT,AFL
CEK,SVO,AFL
SVO,SVX,AFL
SVO,KUF,AFL
KJA,SVO,AFL
NBC,SVO,AFL
SVO,AER,AFL
SVO,REN,AFL
SVO,KZN,AFL
SVO,KGD,AFL
KZN,SVO,AFL
TJM,SVO,AFL
AUH,SVO,AFL
SSH,SVO,AFL
SVO,GOJ,AFL
PEE,SVO,AFL
LED,SVO,AFL
SVO,ASF,AFL
GRU,AEP,ARG
CUN,EZE,ARG
GIG,AEP,ARG
AEP,SLA,ARG
COR,USH,ARG
BRC,EZE,ARG
FTE,AEP,ARG
SLA,AEP,ARG
AEP,FTE,ARG
EZE,IGR,ARG
USH,FTE,ARG
AEP,UAQ,ARG
MIA,EZE,ARG
AEP,CPC,ARG
AEP,ROS,ARG
IGR,AEP,ARG
AEP,LUQ,ARG
COR,AEP,ARG
AEP,SLA,ARG
BRC,AEP,ARG
AEP,BHI,ARG
CVG,BAH,BOX
CVG,BRU,BOX
DXB,HKG,BOX
BAH,HKG,BOX
FRA,LAX,BOX
DEL,HKG,BOX
SGN,BLR,BOX
HKG,CVG,BOX
FRS,CUN,TAO
VSA,CUN,TAO
TPQ,MEX,TAO
IZT,MEX,TAO
MEX,AMS,AMX
MAD,MEX,AMX
MEX,CUN,AMX
MIA,MEX,AMX
MEX,TIJ,AMX
MEX,SJD,AMX
GRU,MEX,AMX
MEX,CJS,AMX
MEX,LAX,AMX
MEX,MIA,AMX
LIM,MEX,AMX
HMO,MEX,AMX
MEX,JFK,AMX
GDL,TIJ,AMX
CJS,MEX,AMX
MID,MEX,AMX
MEX,MTY,AMX
GDL,MEX,AMX
TIJ,MEX,AMX
MTY,MEX,AMX
MEX,SJO,AMX
MEX,HMO,AMX
MEX,MXL,AMX
MEX,GDL,AMX
MEX,BOG,AMX
MEX,MID,AMX
MEX,YVR,AMX
MEX,MTY,AMX
MEX,CUN,AMX
MEX,SFO,AMX
GDL,LAX,AMX
MEX,LAS,AMX
VSA,MEX,AMX
PVR,MEX,AMX
GDL,MEX,AMX
CUU,MEX,SLI
MEX,CUL,SLI
MID,MEX,SLI
MEX,CEN,SLI
GDL,SLC,SLI
AUS,MEX,SLI
MEX,CME,SLI
MEX,LMM,SLI
MEX,ZCL,SLI
MEX,TAP,SLI
MEX,GUA,SLI
MEX,SAP,SLI
MEX,ZLO,SLI
MEX,MTT,SLI
MEX,CTM,SLI
SDQ,MEX,SLI
MEX,QRO,SLI
MEX,OAX,SLI
