latSup,lonInf,latInf,lonSup,Zone
72.57,-16.96,33.57,53.05,europe
75.0,-180.0,3.0,-52.0,northamerica
16.0,-96.0,-57.0,-31.0,southamerica
19.62,88.4,-55.08,180.0,oceania
79.98,40.91,12.48,179.77,asia
39.0,-29.0,-39.0,55.0,africa
52.62,-50.9,15.62,-4.75,atlantic
10.72,63.1,-6.08,86.53,maldives
82.62,-84.53,59.02,4.45,northatlantic
56.86,11.06,48.22,28.26,poland
57.92,1.81,45.81,16.83,germany
62.61,-13.07,49.71,3.46,uk
44.36,-11.06,35.76,4.04,spain
51.07,-5.18,42.17,8.9,france
72.12,-0.73,53.82,40.67,scandinavia
47.67,5.26,36.27,20.64,italy
72.82,-177.97,41.92,-52.48,Canada
54.66,-134.68,22.16,-56.91,USA
60.38,113.5,22.58,176.47,japan
80.0,-180.0,-60.0,180.0,monde
